prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SAN JUAN	pin	4881	Gobierno de San Juan	Escuela Pascual Chena	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1053.356	25 de Mayo 22, J5400AHB San Juan, Argentina
SAN JUAN	pin	3802	Gobierno de San Juan	Escuela Bachillerato Columna Cabot	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1027.513	Iglesia, San Juan Province, Argentina
SAN JUAN	pin	4646	Gobierno de San Juan	Escuela Comodoro Rivadavia	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1022.648	C. 3, San Juan, Argentina
SAN JUAN	pin	9153	Gobierno de San Juan	JINZ N.º 43 Policia de la Pcia. San Juan	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1000.319	Nicolás Avellaneda Oeste & Victoria, J5406 Rivadavia, San Juan, Argentina
PENTACOM	pin	8757	Molino Cañuelas	Suc. Charras - SUC CERRADA	DEJADO	PIN ROTO en Gestión, geocode impreciso (GEOMETRIC_CENTER): corregir en Gestión	9654.869	Avenida Independencia, Charras, Municipio de Charras, Pedanía Chucul, Departamento Juárez Celman, Córdoba, X2670, Argentina
PENTACOM	pin	11892	Mercado Libre SRL	SVC Cordoba	DEJADO	PIN ROTO en Gestión, geocode impreciso (GEOMETRIC_CENTER): corregir en Gestión	9503.772	Avenida Circunvalación, Los Boulevares, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5022, Argentina
PENTACOM	pin	6802	CCU	CD Cordoba	DEJADO	PIN ROTO en Gestión, geocode impreciso (GEOMETRIC_CENTER): corregir en Gestión	4294.574	Avenida Circunvalación, Los Boulevares, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	pin	8708	Molino Cañuelas	Agro - Rio IV	DEJADO	PIN ROTO en Gestión, geocode impreciso (RANGE_INTERPOLATED): corregir en Gestión	4143.189	Estrada 624, X5817 Berrotarán, Córdoba, Argentina
TRELEW	pin	9852	Aerolineas Argentinas	Aeropuerto De Puerto Madryn (PMY)	DEJADO	PIN ROTO en Gestión, geocode impreciso (GEOMETRIC_CENTER): corregir en Gestión	9797.271	Acceso A Aeropuerto Puerto Madryn, Puerto Madryn, Chubut, Argentina
SUPERNOVA	pin	10930	Nutrien	GALVEZ	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9748.526/GEOMETRIC_CENTER	Ruta Provincial 80, Gálvez, Municipio de Gálvez, Departamento San Jerónimo, Santa Fe, S2252, Argentina
BAHIA	pin	3174	Catter Meat S.A.	Bahía Blanca (Frigorífico Villa Olga)	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10234.982/GEOMETRIC_CENTER	RN3, Bahía Blanca, Provincia de Buenos Aires, Argentina
BAHIA	pin	10512	OCA	Bahía Blanca Postales	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10234.982/GEOMETRIC_CENTER	RN3, Bahía Blanca, Provincia de Buenos Aires, Argentina
BAHIA	pin	11140	Provincia Microempresas	6846 - Coronel Pringles	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10227.803/GEOMETRIC_CENTER	Stegmann & Bartolomé Mitre, B7530 Coronel Pringles, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	11517	ROBINSON LOGISTICS	ROJAS	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9957.152/GEOMETRIC_CENTER	RP31, Rojas, Provincia de Buenos Aires, Argentina
INFOMAC	pin	11208	EDERSA S.A.	ESTACION TRANSFORMADORA LUIS BELTRAN	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10084.586/APPROXIMATE	Luis Beltrán, Río Negro Province, Argentina
INFOMAC	pin	11196	EDERSA S.A.	CERVANTES	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9972.739/GEOMETRIC_CENTER	C. chaco, R8326 Cervantes, Río Negro, Argentina
INFOMAC	pin	11174	EDERSA S.A.	ALLEN	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9942.568/GEOMETRIC_CENTER	Tomás Orell & Bartolomé Mitre, R8328 Allen, Río Negro, Argentina
INFOMAC	pin	10903	ISSN	Delegacion ISSN El Sauce	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9928.177/GEOMETRIC_CENTER	Salvatori, Q8300 Neuquén, Argentina
INFOMAC	pin	10964	ISSN	Delegacion ISSN Cordones De Chapelco	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9865.272/GEOMETRIC_CENTER	Cerro de la Virgen, Cordones del Chapelco, Neuquén, Argentina
INFOMAC	pin	11084	ISSN	Hotel Copahue	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9665.716/GEOMETRIC_CENTER	Doctor Ortiz Vélez & Raúl Gazaneo, Copahue, Neuquén, Argentina
INFOMAC	pin	11849	Generación Mediterránea	FRIAS	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9219.969/GEOMETRIC_CENTER	RN157, Frías, Santiago del Estero, Argentina
SUPERNOVA	pin	10930	Nutrien	GALVEZ	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9748.526/GEOMETRIC_CENTER	Ruta Provincial 80, Gálvez, Municipio de Gálvez, Departamento San Jerónimo, Santa Fe, S2252, Argentina
BAHIA	pin	3174	Catter Meat S.A.	Bahía Blanca (Frigorífico Villa Olga)	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10234.982/GEOMETRIC_CENTER	RN3, Bahía Blanca, Provincia de Buenos Aires, Argentina
BAHIA	pin	10512	OCA	Bahía Blanca Postales	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10234.982/GEOMETRIC_CENTER	RN3, Bahía Blanca, Provincia de Buenos Aires, Argentina
BAHIA	pin	11140	Provincia Microempresas	6846 - Coronel Pringles	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10227.803/GEOMETRIC_CENTER	Stegmann & Bartolomé Mitre, B7530 Coronel Pringles, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	11517	ROBINSON LOGISTICS	ROJAS	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9957.152/GEOMETRIC_CENTER	RP31, Rojas, Provincia de Buenos Aires, Argentina
INFOMAC	pin	11208	EDERSA S.A.	ESTACION TRANSFORMADORA LUIS BELTRAN	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10084.586/APPROXIMATE	Luis Beltrán, Río Negro Province, Argentina
INFOMAC	pin	11196	EDERSA S.A.	CERVANTES	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9972.739/GEOMETRIC_CENTER	C. chaco, R8326 Cervantes, Río Negro, Argentina
INFOMAC	pin	11174	EDERSA S.A.	ALLEN	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9942.568/GEOMETRIC_CENTER	Tomás Orell & Bartolomé Mitre, R8328 Allen, Río Negro, Argentina
INFOMAC	pin	10903	ISSN	Delegacion ISSN El Sauce	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9928.177/GEOMETRIC_CENTER	Salvatori, Q8300 Neuquén, Argentina
INFOMAC	pin	10964	ISSN	Delegacion ISSN Cordones De Chapelco	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9865.272/GEOMETRIC_CENTER	Cerro de la Virgen, Cordones del Chapelco, Neuquén, Argentina
INFOMAC	pin	11084	ISSN	Hotel Copahue	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9665.716/GEOMETRIC_CENTER	Doctor Ortiz Vélez & Raúl Gazaneo, Copahue, Neuquén, Argentina
INFOMAC	pin	11849	Generación Mediterránea	FRIAS	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9219.969/GEOMETRIC_CENTER	RN157, Frías, Santiago del Estero, Argentina
MENDOZA	pin	10515	Natura	Abigail Bittar	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10924.092 km / GEOMETRIC_CENTER	Olite, San Rafael, Distrito Ciudad de San Rafael, Departamento San Rafael, Mendoza, M5600, Argentina
MENDOZA	pin	321	Cepas Argentinas	Mendoza	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9404.243 km / RANGE_INTERPOLATED	San Isidro 2200, M5577 Rivadavia, Mendoza, Argentina
